"","Overall","level","non-rural","rural","p","test","SMD"
"n...1","196",NA,NA,NA,NA,NA,NA
"Community belonging >=3 = 1 (%)","174 (88.8)",NA,NA,NA,NA,NA,NA
"Depression score >=10 = 1 (%)","138 (70.4)",NA,NA,NA,NA,NA,NA
"n...4","196","","79","117","","",""
"Urban-Rural Postal Code (%)","79 (40.3)","non-rural","79 (100.0)","0 (0.0)","<0.001","","NaN"
"...6","117 (59.7)","rural","0 (0.0)","117 (100.0)","","",""
"Depression score (mean (SD))","11.21 (3.03)","","11.19 (2.94)","11.22 (3.09)","0.942","","0.011"
