"","Overall","level","non-rural","rural","p","test","SMD"
"n...1","197",NA,NA,NA,NA,NA,NA
"Community belonging >=3 = 1 (%)","176 (89.3)",NA,NA,NA,NA,NA,NA
"Depression score >=10 = 1 (%)","137 (69.5)",NA,NA,NA,NA,NA,NA
"n...4","197","","88","109","","",""
"Urban-Rural Postal Code (%)","88 (44.7)","non-rural","88 (100.0)","0 (0.0)","<0.001","","NaN"
"...6","109 (55.3)","rural","0 (0.0)","109 (100.0)","","",""
"Depression score (mean (SD))","10.83 (3.15)","","11.14 (3.16)","10.59 (3.15)","0.225","","0.174"
