"","Overall","level","non-rural","rural","p","test","SMD"
"n...1","228",NA,NA,NA,NA,NA,NA
"Community belonging >=3 = 1 (%)","206 (90.4)",NA,NA,NA,NA,NA,NA
"Depression score >=10 = 1 (%)","154 (67.5)",NA,NA,NA,NA,NA,NA
"n...4","228","","87","141","","",""
"Urban-Rural Postal Code (%)","87 (38.2)","non-rural","87 (100.0)","0 (0.0)","<0.001","","NaN"
"...6","141 (61.8)","rural","0 (0.0)","141 (100.0)","","",""
"Depression score (mean (SD))","11.07 (3.22)","","10.86 (3.46)","11.21 (3.07)","0.435","","0.105"
