"","Overall","level","non-rural","rural","p","test","SMD"
"n...1","194",NA,NA,NA,NA,NA,NA
"Community belonging >=3 = 1 (%)","177 (91.2)",NA,NA,NA,NA,NA,NA
"Depression score >=10 = 1 (%)","136 (70.1)",NA,NA,NA,NA,NA,NA
"n...4","194","","160","34","","",""
"Urban-Rural Postal Code (%)","160 (82.5)","non-rural","160 (100.0)","0 (0.0)","<0.001","","NaN"
"...6","34 (17.5)","rural","0 (0.0)","34 (100.0)","","",""
"Depression score (mean (SD))","10.91 (2.92)","","10.93 (2.91)","10.82 (3.00)","0.846","","0.036"
