"","Overall","level","non-rural","rural","p","test","SMD"
"n...1","238",NA,NA,NA,NA,NA,NA
"Community belonging >=3 = 1 (%)","214 (89.9)",NA,NA,NA,NA,NA,NA
"Depression score >=10 = 1 (%)","162 (68.1)",NA,NA,NA,NA,NA,NA
"n...4","238","","78","160","","",""
"Urban-Rural Postal Code (%)","78 (32.8)","non-rural","78 (100.0)","0 (0.0)","<0.001","","NaN"
"...6","160 (67.2)","rural","0 (0.0)","160 (100.0)","","",""
"Depression score (mean (SD))","10.92 (3.06)","","11.10 (3.10)","10.83 (3.04)","0.522","","0.088"
