"","Overall","level","non-rural","rural","p","test","SMD"
"n...1","220",NA,NA,NA,NA,NA,NA
"Community belonging >=3 = 1 (%)","75 (34.1)",NA,NA,NA,NA,NA,NA
"Depression score >=10 = 1 (%)","186 (84.5)",NA,NA,NA,NA,NA,NA
"n...4","220","","88","132","","",""
"Urban-Rural Postal Code (%)","88 (40.0)","non-rural","88 (100.0)","0 (0.0)","<0.001","","NaN"
"...6","132 (60.0)","rural","0 (0.0)","132 (100.0)","","",""
"Depression score (mean (SD))","12.37 (2.88)","","11.27 (2.72)","13.11 (2.75)","<0.001","","0.670"
