"","Overall","level","non-rural","rural","p","test","SMD"
"n...1","201",NA,NA,NA,NA,NA,NA
"Community belonging >=3 = 1 (%)","106 (52.7)",NA,NA,NA,NA,NA,NA
"Depression score >=10 = 1 (%)","131 (65.2)",NA,NA,NA,NA,NA,NA
"n...4","201","","180","21","","",""
"Urban-Rural Postal Code (%)","180 (89.6)","non-rural","180 (100.0)","0 (0.0)","<0.001","","NaN"
"...6","21 (10.4)","rural","0 (0.0)","21 (100.0)","","",""
"Depression score (mean (SD))","10.94 (3.16)","","10.74 (3.09)","12.67 (3.32)","0.008","","0.601"
