"","Overall","level","non-rural","rural","p","test","SMD"
"n...1","214",NA,NA,NA,NA,NA,NA
"Community belonging >=3 = 1 (%)","73 (34.1)",NA,NA,NA,NA,NA,NA
"Depression score >=10 = 1 (%)","176 (82.2)",NA,NA,NA,NA,NA,NA
"n...4","214","","83","131","","",""
"Urban-Rural Postal Code (%)","83 (38.8)","non-rural","83 (100.0)","0 (0.0)","<0.001","","NaN"
"...6","131 (61.2)","rural","0 (0.0)","131 (100.0)","","",""
"Depression score (mean (SD))","12.36 (3.16)","","11.12 (3.13)","13.15 (2.93)","<0.001","","0.668"
