"","Overall","level","non-rural","rural","p","test","SMD"
"n...1","220",NA,NA,NA,NA,NA,NA
"Community belonging >=3 = 1 (%)","196 (89.1)",NA,NA,NA,NA,NA,NA
"Depression score >=10 = 1 (%)","161 (73.2)",NA,NA,NA,NA,NA,NA
"n...4","220","","195","25","","",""
"Urban-Rural Postal Code (%)","195 (88.6)","non-rural","195 (100.0)","0 (0.0)","<0.001","","NaN"
"...6","25 (11.4)","rural","0 (0.0)","25 (100.0)","","",""
"Depression score (mean (SD))","11.15 (3.02)","","10.95 (3.02)","12.68 (2.54)","0.007","","0.618"
