"","Overall","level","non-rural","rural","p","test","SMD"
"n...1","217",NA,NA,NA,NA,NA,NA
"Community belonging >=3 = 1 (%)","73 (33.6)",NA,NA,NA,NA,NA,NA
"Depression score >=10 = 1 (%)","182 (83.9)",NA,NA,NA,NA,NA,NA
"n...4","217","","89","128","","",""
"Urban-Rural Postal Code (%)","89 (41.0)","non-rural","89 (100.0)","0 (0.0)","<0.001","","NaN"
"...6","128 (59.0)","rural","0 (0.0)","128 (100.0)","","",""
"Depression score (mean (SD))","12.17 (3.06)","","10.98 (2.81)","12.99 (2.97)","<0.001","","0.697"
