"","Overall","level","non-rural","rural","p","test","SMD"
"n...1","209",NA,NA,NA,NA,NA,NA
"Community belonging >=3 = 1 (%)","184 (88.0)",NA,NA,NA,NA,NA,NA
"Depression score >=10 = 1 (%)","141 (67.5)",NA,NA,NA,NA,NA,NA
"n...4","209","","185","24","","",""
"Urban-Rural Postal Code (%)","185 (88.5)","non-rural","185 (100.0)","0 (0.0)","<0.001","","NaN"
"...6","24 (11.5)","rural","0 (0.0)","24 (100.0)","","",""
"Depression score (mean (SD))","10.92 (3.12)","","10.99 (3.05)","10.42 (3.62)","0.399","","0.171"
