"","Overall","level","non-rural","rural","p","test","SMD"
"n...1","198",NA,NA,NA,NA,NA,NA
"Community belonging >=3 = 1 (%)","187 (94.4)",NA,NA,NA,NA,NA,NA
"Depression score >=10 = 1 (%)","133 (67.2)",NA,NA,NA,NA,NA,NA
"n...4","198","","177","21","","",""
"Urban-Rural Postal Code (%)","177 (89.4)","non-rural","177 (100.0)","0 (0.0)","<0.001","","NaN"
"...6","21 (10.6)","rural","0 (0.0)","21 (100.0)","","",""
"Depression score (mean (SD))","10.92 (3.01)","","10.99 (2.97)","10.38 (3.35)","0.383","","0.192"
