"","Overall","level","non-rural","rural","p","test","SMD"
"n...1","198",NA,NA,NA,NA,NA,NA
"Community belonging >=3 = 1 (%)","84 (42.4)",NA,NA,NA,NA,NA,NA
"Depression score >=10 = 1 (%)","141 (71.2)",NA,NA,NA,NA,NA,NA
"n...4","198","","176","22","","",""
"Urban-Rural Postal Code (%)","176 (88.9)","non-rural","176 (100.0)","0 (0.0)","<0.001","","NaN"
"...6","22 (11.1)","rural","0 (0.0)","22 (100.0)","","",""
"Depression score (mean (SD))","11.14 (3.10)","","10.97 (3.09)","12.50 (2.89)","0.029","","0.511"
