"","Overall","level","non-rural","rural","p","test","SMD"
"n...1","222",NA,NA,NA,NA,NA,NA
"Community belonging >=3 = 1 (%)","108 (48.6)",NA,NA,NA,NA,NA,NA
"Depression score >=10 = 1 (%)","162 (73.0)",NA,NA,NA,NA,NA,NA
"n...4","222","","196","26","","",""
"Urban-Rural Postal Code (%)","196 (88.3)","non-rural","196 (100.0)","0 (0.0)","<0.001","","NaN"
"...6","26 (11.7)","rural","0 (0.0)","26 (100.0)","","",""
"Depression score (mean (SD))","11.37 (2.89)","","11.07 (2.77)","13.65 (2.87)","<0.001","","0.918"
