"","Overall","level","non-rural","rural","p","test","SMD"
"n...1","204",NA,NA,NA,NA,NA,NA
"Community belonging >=3 = 1 (%)","185 (90.7)",NA,NA,NA,NA,NA,NA
"Depression score >=10 = 1 (%)","130 (63.7)",NA,NA,NA,NA,NA,NA
"n...4","204","","184","20","","",""
"Urban-Rural Postal Code (%)","184 (90.2)","non-rural","184 (100.0)","0 (0.0)","<0.001","","NaN"
"...6","20 (9.8)","rural","0 (0.0)","20 (100.0)","","",""
"Depression score (mean (SD))","10.91 (3.10)","","10.84 (3.08)","11.55 (3.28)","0.330","","0.224"
