"","Overall","level","non-rural","rural","p","test","SMD"
"n...1","220",NA,NA,NA,NA,NA,NA
"Community belonging >=3 = 1 (%)","109 (49.5)",NA,NA,NA,NA,NA,NA
"Depression score >=10 = 1 (%)","159 (72.3)",NA,NA,NA,NA,NA,NA
"n...4","220","","196","24","","",""
"Urban-Rural Postal Code (%)","196 (89.1)","non-rural","196 (100.0)","0 (0.0)","<0.001","","NaN"
"...6","24 (10.9)","rural","0 (0.0)","24 (100.0)","","",""
"Depression score (mean (SD))","11.32 (3.21)","","11.17 (3.13)","12.54 (3.61)","0.047","","0.406"
