"","Overall","level","non-rural","rural","p","test","SMD"
"n...1","208",NA,NA,NA,NA,NA,NA
"Community belonging >=3 = 1 (%)","77 (37.0)",NA,NA,NA,NA,NA,NA
"Depression score >=10 = 1 (%)","171 (82.2)",NA,NA,NA,NA,NA,NA
"n...4","208","","79","129","","",""
"Urban-Rural Postal Code (%)","79 (38.0)","non-rural","79 (100.0)","0 (0.0)","<0.001","","NaN"
"...6","129 (62.0)","rural","0 (0.0)","129 (100.0)","","",""
"Depression score (mean (SD))","12.50 (3.17)","","11.14 (3.04)","13.34 (2.97)","<0.001","","0.733"
