"","Overall","level","non-rural","rural","p","test","SMD"
"n...1","182",NA,NA,NA,NA,NA,NA
"Community belonging >=3 = 1 (%)","168 (92.3)",NA,NA,NA,NA,NA,NA
"Depression score >=10 = 1 (%)","127 (69.8)",NA,NA,NA,NA,NA,NA
"n...4","182","","167","15","","",""
"Urban-Rural Postal Code (%)","167 (91.8)","non-rural","167 (100.0)","0 (0.0)","<0.001","","NaN"
"...6","15 (8.2)","rural","0 (0.0)","15 (100.0)","","",""
"Depression score (mean (SD))","10.91 (3.07)","","10.89 (2.98)","11.13 (4.05)","0.766","","0.070"
