"","Overall","level","non-rural","rural","p","test","SMD"
"n...1","201",NA,NA,NA,NA,NA,NA
"Community belonging >=3 = 1 (%)","175 (87.1)",NA,NA,NA,NA,NA,NA
"Depression score >=10 = 1 (%)","134 (66.7)",NA,NA,NA,NA,NA,NA
"n...4","201","","77","124","","",""
"Urban-Rural Postal Code (%)","77 (38.3)","non-rural","77 (100.0)","0 (0.0)","<0.001","","NaN"
"...6","124 (61.7)","rural","0 (0.0)","124 (100.0)","","",""
"Depression score (mean (SD))","10.79 (2.86)","","11.16 (2.76)","10.56 (2.91)","0.155","","0.208"
