"","Overall","level","non-rural","rural","p","test","SMD"
"n...1","217",NA,NA,NA,NA,NA,NA
"Community belonging >=3 = 1 (%)","190 (87.6)",NA,NA,NA,NA,NA,NA
"Depression score >=10 = 1 (%)","162 (74.7)",NA,NA,NA,NA,NA,NA
"n...4","217","","84","133","","",""
"Urban-Rural Postal Code (%)","84 (38.7)","non-rural","84 (100.0)","0 (0.0)","<0.001","","NaN"
"...6","133 (61.3)","rural","0 (0.0)","133 (100.0)","","",""
"Depression score (mean (SD))","11.08 (2.90)","","11.27 (2.82)","10.95 (2.95)","0.431","","0.111"
